0	watermarks\MPLUS\tmp_0001.jpg
0	watermarks\MPLUS\tmp_0002.jpg
0	watermarks\MPLUS\tmp_0003.jpg
0	watermarks\MPLUS\tmp_0004.jpg
10	watermarks\MPLUS\tmp_0005.jpg
10	watermarks\MPLUS\tmp_0006.jpg
10	watermarks\MPLUS\tmp_0007.jpg
10	watermarks\MPLUS\tmp_0008.jpg
10	watermarks\MPLUS\tmp_0009.jpg
10	watermarks\MPLUS\tmp_0010.jpg
10	watermarks\MPLUS\tmp_0011.jpg
10	watermarks\MPLUS\tmp_0012.jpg
10	watermarks\MPLUS\tmp_0013.jpg
10	watermarks\MPLUS\tmp_0014.jpg
10	watermarks\MPLUS\tmp_0015.jpg
10	watermarks\MPLUS\tmp_0016.jpg
10	watermarks\MPLUS\tmp_0017.jpg
10	watermarks\MPLUS\tmp_0018.jpg
10	watermarks\MPLUS\tmp_0019.jpg
10	watermarks\MPLUS\tmp_0020.jpg
10	watermarks\MPLUS\tmp_0021.jpg
10	watermarks\MPLUS\tmp_0022.jpg
10	watermarks\MPLUS\tmp_0023.jpg
10	watermarks\MPLUS\tmp_0024.jpg
10	watermarks\MPLUS\tmp_0025.jpg
10	watermarks\MPLUS\tmp_0026.jpg
10	watermarks\MPLUS\tmp_0027.jpg
10	watermarks\MPLUS\tmp_0028.jpg
10	watermarks\MPLUS\tmp_0029.jpg
10	watermarks\MPLUS\tmp_0030.jpg
10	watermarks\MPLUS\tmp_0031.jpg
10	watermarks\MPLUS\tmp_0032.jpg
10	watermarks\MPLUS\tmp_0033.jpg
10	watermarks\MPLUS\tmp_0034.jpg
10	watermarks\MPLUS\tmp_0035.jpg
10	watermarks\MPLUS\tmp_0036.jpg
10	watermarks\MPLUS\tmp_0037.jpg
10	watermarks\MPLUS\tmp_0038.jpg
10	watermarks\MPLUS\tmp_0039.jpg
10	watermarks\MPLUS\tmp_0040.jpg
10	watermarks\MPLUS\tmp_0041.jpg
10	watermarks\MPLUS\tmp_0042.jpg
10	watermarks\MPLUS\tmp_0043.jpg
10	watermarks\MPLUS\tmp_0044.jpg
10	watermarks\MPLUS\tmp_0045.jpg
10	watermarks\MPLUS\tmp_0046.jpg
10	watermarks\MPLUS\tmp_0047.jpg
10	watermarks\MPLUS\tmp_0048.jpg
10	watermarks\MPLUS\tmp_0049.jpg
10	watermarks\MPLUS\tmp_0050.jpg
